"","Country","Amount","FirstMth","LastMth","Months","Purchases","Amount.per.Purchase","Purchases.per.Month","Amount.per.Month"
"12346","United Kingdom",77183.6,2,2,1,1,77183.6,1,77183.6
"12347","Iceland",4085.18,1,11,11,171,23.8899415204678,15.5454545454545,371.38
"12348","Finland",1797.24,1,10,10,31,57.9754838709677,3.1,179.724
"12349","Italy",1757.55,12,12,1,73,24.0760273972603,73,1757.55
"12350","Norway",334.4,3,3,1,17,19.6705882352941,17,334.4
"12352","Norway",2506.04,3,12,10,85,29.4828235294118,8.5,250.604
"12353","Bahrain",89,6,6,1,4,22.25,4,89
"12354","Spain",1079.4,5,5,1,58,18.6103448275862,58,1079.4
"12355","Bahrain",459.4,6,6,1,13,35.3384615384615,13,459.4
"12356","Portugal",2811.43,2,12,11,59,47.6513559322034,5.36363636363636,255.584545454545
"12357","Switzerland",6207.67,12,12,1,131,47.3867938931298,131,6207.67
"12358","Austria",484.86,8,8,1,12,40.405,12,484.86
"12359","Cyprus",6372.58,2,11,10,248,25.6958870967742,24.8,637.258
"12360","Austria",2662.06,6,11,6,129,20.6361240310077,21.5,443.676666666667
"12361","Belgium",189.9,3,3,1,10,18.99,10,189.9
"12362","Belgium",4697.19,3,12,10,236,19.9033474576271,23.6,469.719
"12364","Belgium",1002.78,9,11,3,58,17.2893103448276,19.3333333333333,334.26
"12365","Cyprus",641.38,3,3,1,22,29.1536363636364,22,641.38
"12371","Switzerland",1887.96,11,11,1,63,29.967619047619,63,1887.96
"12372","Denmark",1298.04,3,10,8,52,24.9623076923077,6.5,162.255
"12373","Austria",364.6,3,3,1,14,26.0428571428571,14,364.6
"12374","Austria",742.93,12,12,1,33,22.5130303030303,33,742.93
"12375","Finland",457.5,10,12,3,17,26.9117647058824,5.66666666666667,152.5
"12377","Switzerland",1628.12,1,2,2,77,21.1444155844156,38.5,814.06
"12378","Switzerland",4008.62,9,9,1,219,18.304200913242,219,4008.62
"12379","Belgium",852.24,7,10,4,40,21.306,10,213.06
"12380","Belgium",2724.81,7,12,6,104,26.2000961538462,17.3333333333333,454.135
"12381","Norway",1698.3,9,12,4,80,21.22875,20,424.575
"12383","Belgium",1850.56,1,7,7,99,18.6925252525253,14.1428571428571,264.365714285714
"12384","Switzerland",585.27,9,12,4,27,21.6766666666667,6.75,146.3175
"12386","Australia",401.9,1,2,2,10,40.19,5,200.95
"12388","Australia",2780.66,2,12,11,100,27.8066,9.09090909090909,252.787272727273
"12390","Belgium",549.84,10,10,1,32,17.1825,32,549.84
"12391","Cyprus",460.89,12,12,1,100,4.6089,100,460.89
"12393","Australia",1582.6,2,10,9,64,24.728125,7.11111111111111,175.844444444444
"12395","Belgium",3018.63,1,12,12,156,19.3501923076923,13,251.5525
"12397","Belgium",2409.9,8,12,5,126,19.1261904761905,25.2,481.98
"12398","Switzerland",1635.66,11,11,1,85,19.2430588235294,85,1635.66
"12399","Belgium",1108.65,4,9,6,59,18.7906779661017,9.83333333333333,184.775
"12401","Belgium",84.3,3,3,1,5,16.86,5,84.3
"12402","Belgium",225.6,2,2,1,11,20.5090909090909,11,225.6
"12403","Denmark",427.7,11,11,1,5,85.54,5,427.7
"12405","Finland",1710.39,8,8,1,54,31.6738888888889,54,1710.39
"12406","Denmark",3415.3,7,12,6,105,32.5266666666667,17.5,569.216666666667
"12407","Belgium",1708.12,4,11,8,77,22.1833766233766,9.625,213.515
"12408","Belgium",2888.55,4,12,9,105,27.51,11.6666666666667,320.95
"12409","Switzerland",11072.67,7,10,4,109,101.584128440367,27.25,2768.1675
"12410","Switzerland",693.33,3,3,1,26,26.6665384615385,26,693.33
"12412","Denmark",1226.88,7,10,4,61,20.1127868852459,15.25,306.72
"12413","France",758.1,2,11,10,38,19.95,3.8,75.81
"12414","Austria",562.41,3,6,4,18,31.245,4.5,140.6025
"12415","Australia",124914.53,2,12,11,716,174.461634078212,65.0909090909091,11355.8663636364
"12418","Switzerland",668.58,9,9,1,34,19.6641176470588,34,668.58
"12420","Cyprus",600.39,11,11,1,29,20.7031034482759,29,600.39
"12421","Spain",807.04,2,12,11,45,17.9342222222222,4.09090909090909,73.3672727272727
"12423","Belgium",1650.67,1,9,9,108,15.2839814814815,12,183.407777777778
"12424","Australia",1760.96,7,7,1,30,58.6986666666667,30,1760.96
"12425","Portugal",777.2,10,10,1,36,21.5888888888889,36,777.2
"12426","Germany",582.73,6,6,1,30,19.4243333333333,30,582.73
